km,klass,surface,highway,tracktype,smoothness,dist_m
517.5215058533852,kruus,unpaved,tertiary,NA,NA,0
517.765572978924,kruus,unpaved,tertiary,NA,NA,0
518.0224853840556,kruus,unpaved,tertiary,NA,NA,0
518.2767018316059,asfalt,asphalt,tertiary,NA,NA,0
518.480762966782,asfalt,asphalt,tertiary,NA,NA,0
518.7450891649914,asfalt (eeldus),NA,residential,NA,NA,0
519.0102768490731,asfalt (eeldus),NA,residential,NA,NA,0
519.2489958782556,asfalt,asphalt,tertiary,NA,NA,0
519.5008448307169,asfalt,asphalt,tertiary,NA,NA,0
519.7316316556046,asfalt,asphalt,tertiary,NA,NA,0
519.9773634503056,asfalt,asphalt,tertiary,NA,NA,0
520.2499195596894,asfalt (eeldus),NA,unclassified,NA,NA,0
520.4939324163331,asfalt (eeldus),NA,unclassified,NA,NA,0
520.7404459792201,asfalt (eeldus),NA,unclassified,NA,NA,0
520.9757399203407,asfalt (eeldus),NA,unclassified,NA,NA,0
521.2509255984861,asfalt (eeldus),NA,unclassified,NA,NA,1
521.4860070351884,asfalt (eeldus),NA,unclassified,NA,NA,0
521.7428044191292,asfalt (eeldus),NA,unclassified,NA,NA,0
522.0047994714797,asfalt (eeldus),NA,unclassified,NA,NA,0
522.2320555958838,asfalt (eeldus),NA,unclassified,NA,NA,0
522.5209501681204,asfalt (eeldus),NA,unclassified,NA,NA,0
522.7161850073526,asfalt (eeldus),NA,unclassified,NA,NA,0
523.024313760605,asfalt (eeldus),NA,unclassified,NA,NA,0
523.2481365442843,asfalt (eeldus),NA,unclassified,NA,NA,0
523.5356777885033,kruus (eeldus),NA,track,NA,NA,0
523.7712364643404,kruus,gravel,unclassified,NA,NA,0
523.9935244501581,kruus,gravel,unclassified,NA,NA,0
524.2246330934368,kruus,gravel,unclassified,NA,NA,0
524.5396046684156,kruus,gravel,unclassified,NA,NA,0
524.7342166640499,kruus,gravel,unclassified,NA,NA,0
525.0051342741511,kruus,gravel,unclassified,NA,NA,0
525.251224717849,kruus,gravel,unclassified,NA,NA,0
525.4993163223761,kruus,gravel,unclassified,NA,NA,0
525.7408729210915,kruus,gravel,unclassified,NA,NA,1
525.9907594357962,kruus,gravel,unclassified,NA,NA,1
526.2407214155943,kruus,gravel,unclassified,NA,NA,0
526.5015612387475,kruus,gravel,unclassified,NA,NA,0
526.7505509275326,kruus,gravel,unclassified,NA,NA,0
527.0160862250176,kruus,gravel,unclassified,NA,NA,0
527.257167835842,kruus,gravel,unclassified,NA,NA,0
527.5096828616713,kruus,gravel,unclassified,NA,NA,0
527.7555138899986,kruus,gravel,unclassified,NA,NA,0
527.9826143465071,kruus (eeldus),NA,track,grade2,NA,0
528.2616879411814,kruus (eeldus),NA,track,grade2,NA,0
528.4852996717831,kruus (eeldus),NA,track,grade2,NA,0
528.747401772717,kruus (eeldus),NA,track,grade2,NA,0
529.0296523898821,kruus (eeldus),NA,track,grade2,NA,0
529.2709726324758,kruus (eeldus),NA,track,grade2,NA,0
529.4909163305148,kruus,unpaved,tertiary,NA,NA,0
529.7331315959841,kruus,unpaved,tertiary,NA,NA,0
530.0023726316896,kruus,unpaved,tertiary,NA,NA,0
530.237871779963,kruus,unpaved,tertiary,NA,NA,0
530.491193076783,kruus,gravel,unclassified,NA,NA,0
530.7282366399595,kruus,gravel,unclassified,NA,NA,0
530.9968236285823,kruus,gravel,unclassified,NA,NA,0
531.255917637816,kruus,gravel,unclassified,NA,NA,0
531.5051532007125,kruus,gravel,unclassified,NA,NA,0
