km,detour_m,kind,name,hours,lat,lon,osm
9.47,545,supermarket,Lidl,Mo-Su 08:00-22:00,59.4308073,24.6106406,way/856493254
10.24,870,restaurant,Talleke ja Pullike,Mo-Su 12:15-24:00,59.4429725,24.5944569,node/755910628
10.83,41,fuel,Jetoil,24/7,59.4327076,24.5921515,way/1502559291
11.31,1231,restaurant,Meat Resto & Butchery,NA,59.4374227,24.5721296,node/4756603824
12.86,74,convenience,Meie Harkujärve pood,Mo-Sa 10:00-21:00; Su 10:00-20:00,59.4187373,24.5903242,way/1314345348
16.56,28,fuel,Alexela,24/7,59.4220014,24.5385659,node/6178499227
17.35,58,cafe,Neiborhuud,Mo-Fr 11:00-21:00; Sa 12:00-21:00; Su 12:00-19:00,59.4281665,24.5458614,node/9937524012
17.42,46,restaurant,BabyBack,Mo-Th 12:00-20:00; Fr 12:00-21:00; Sa 13:00-21:00; Su 13:00-20:00,59.4282042,24.5475639,node/619765934
17.42,46,cafe,Portsman,Mo-Fr 11:00-15:00,59.4283458,24.5464171,node/9937524009
17.48,161,supermarket,Tabasalu Selver,Mo-Su 08:00-23:00,59.4289991,24.5502465,node/10154305151
17.52,35,fuel,Circle K Tabasalu Automaat,24/7,59.429708,24.5472354,way/1110255122
17.52,62,supermarket,Realiseerimiskeskus,Mo-Fr 09:00-20:00; Su 10:00-20:00; Su 10:00-18:00,59.4298199,24.5467478,way/26860140
17.52,262,convenience,Karia Market,10:00-20:00,59.4293694,24.5521558,way/26851182
17.52,312,bakery,Imelihtne,Mo-Fr 09:00-18:00; Sa-Su 10:00-16:00,59.4295487,24.5530381,node/4750501741
17.62,192,fast_food,Pitsapoisid,Mo-Su 11:00-22:00,59.430127,24.5441612,node/1331316931
17.62,221,supermarket,Tabasalu Rimi super,Mo-Su 08:00-22:00,59.430078,24.5436628,way/96369656
17.72,870,bakery,Pirogoff,07:00-21:00,59.4315199,24.5628304,node/13675247456
17.72,873,greengrocer,NA,Mo-Sa 11:00-21:00; Su 11:00-19:00,59.4315597,24.5628707,node/13675247455
17.72,903,supermarket,Prisma,Mo-Su 07:00-23:00,59.4315333,24.5633999,way/974410762
17.77,875,restaurant,Wok'n'roll,Mo-Su 10:00-21:00,59.4316113,24.5629097,node/11232998509
17.96,784,restaurant,Restoran Lucca,NA,59.4324955,24.5615516,way/26859917
17.96,892,fuel,Alexela Tiskre tankla,24/7,59.432078,24.5633571,way/1120216872
17.96,925,convenience,Alexela Tiskre mugavuspood,Mo-Su 06:00-22:00,59.4319682,24.5639236,way/1120216871
22.75,186,cafe,Sadamakohvik Cliff,Fr 14:00-19:00; Sa 12:00-20:00; Su 12:00-16:00,59.4554026,24.4870794,way/1005929937
26.07,1407,supermarket,COOP Muraste Konsum,09:00-22:00,59.4549285,24.4439799,way/416598679
26.07,1449,fuel,Alexela,24/7,59.4545408,24.4437297,way/707244640
26.07,1455,restaurant,Mummi Trahter,Mo-Su 12:00-21:00,59.454576,24.4457096,way/211907102
34.6,1158,fuel,Alexela,24/7,59.4456754,24.3808188,way/1121203893
34.6,1173,convenience,Alexela Viti mugavuspood,Mo-Su 07:00-22:00,59.4457441,24.3810602,way/249704306
35.48,639,cafe,The Greenhouse Café,NA,59.4332919,24.3671992,node/1594546751
35.48,653,convenience,Maksis,Mo-Sa 06:00-24:00,59.432892,24.3670853,way/233549793
35.48,669,convenience,Meie Vääna-Jõesuu pood,Mo-Su 10:00-21:00,59.4334915,24.3679482,way/722559040
37.07,36,cafe,Jõesuu Lounge,NA,59.4258558,24.3444649,node/8928588117
58.79,1291,fuel,NA,NA,59.3291866,24.4742761,node/1638082794
60.41,85,fuel,Circle K,24/7,59.3111887,24.4379175,way/221099136
60.41,89,convenience,Circle K,24/7,59.3112884,24.4381216,way/34096565
60.62,21,fast_food,Grill & Chill tänavatoit,NA,59.3105123,24.4354979,way/1111171448
60.62,59,fast_food,Subway,NA,59.31035,24.4362098,node/3545010667
60.62,107,fuel,Alexela,24/7,59.3105387,24.4372768,node/305035205
60.62,131,kiosk,Alexela Paus,24/7,59.3104045,24.4376498,node/4266006097
60.74,82,supermarket,Maxima X,NA,59.3105831,24.4324636,way/320432203
61.46,256,cafe,NA,NA,59.3039087,24.4397709,node/11034073048
76.88,251,convenience,NA,NA,59.2381254,24.2893737,node/2795096104
77.87,587,convenience,Meie Vasalemma pood,Mo-Sa 10:00-21:00; Su 10:00-20:00,59.2382181,24.2755065,way/707292927
77.87,626,fast_food,Rätsepa Burger,NA,59.2385926,24.2754916,node/13248064292
83.7,817,restaurant,Rummu Grill,"Mo-Th 11:00-23:00; Fr, Sa 11:00-00:00; Su 12:00-22:00",59.2313058,24.2033779,node/13125105660
84.69,343,cafe,Rummu Quarry Café,Jun 01-Aug 31,59.2273418,24.1960046,way/131055175
84.99,590,convenience,Keldripood,Mo-Sa 10:00-20:00; Su 10:00-19:00,59.232678,24.1965603,node/11225418522
84.99,718,convenience,"Kauplus ""Duett""",10:00-20:00,59.2313052,24.200854,node/3652701025
86.24,58,restaurant,Tammetare bistroo,NA,59.2284535,24.1686691,way/1211786358
86.3,48,fuel,NA,NA,59.2282278,24.1677089,way/265261526
121.11,927,convenience,Circle K,NA,58.9968319,24.0726521,way/1409681779
121.11,952,fuel,Circle K,24/7,58.9969505,24.0731545,way/1409681778
121.15,62,convenience,Coop Risti kauplus,Mo-Su 09:00-20:00,58.9982219,24.0570584,way/211976718
121.29,490,cafe,Risti kohvik,NA,58.9940902,24.0572968,way/249139945
121.34,500,fuel,Krooning Risti tankla,24/7,58.9938702,24.0566386,node/251974273
131.98,263,convenience,Coop Palivere kauplus,Mo-Su 09:00-20:00,58.9656061,23.8935178,way/213177941
137.41,508,restaurant,Peshawari Tandoori Aasia Köök,NA,58.9575604,23.8024341,node/11587410986
153.83,237,convenience,Coop Parila kauplus,Mo-Su 09:00-19:00,58.868267,23.6226612,node/6584704434
172.93,61,cafe,Rohuküla sadamahoone kohvik,Mo-Sa 09:00-20:00; Su 09:00-17:00,58.9062548,23.424561,node/4462743789
195.04,41,fast_food,Heltermaa Baar,Mo-Sa 09:00-19:00; Su 09:00-20:00,58.8654599,23.0471738,node/4294940992
220.22,288,restaurant,Roograhu sadama restoran,Mo-Th 12:00-18:00; Fr-Sa 12:00 - 21:00; Su 12:00-18:00,58.9996729,22.8186393,node/2961361762
226.5,233,restaurant,Kuur,Mo-Th 11:00-23:00; Fr-Sa 11:00-01:00; Su 11:00-23:00,59.008133,22.7520105,way/213187166
226.7,423,restaurant,Rannapaargu,NA,59.0063672,22.7447359,way/32686964
226.85,167,cafe,Baabad,Mo-Sa 11:00-18:00,59.0041977,22.747308,node/8935442846
226.94,41,restaurant,NA,NA,59.0030038,22.7496684,node/13518301405
227.47,32,supermarket,Coop Hiiu Konsum,Mo-Fr 07:30-21:00; Sa-Su 09:00-21:00,58.9985632,22.7469862,way/31299699
227.47,99,drinking_water,NA,NA,58.9975964,22.7466694,node/9002272649
227.47,111,cafe,Kohvik Gahwa,NA,58.9981164,22.748266,node/2214767486
227.47,147,supermarket,Realiseerimiskeskus,Mo-Fr 09:00-18:00; Sa 09:00-15:00,58.9982942,22.7490042,node/13463586498
227.47,1017,supermarket,COOP Tormi Konsum,Mo-Su 09:00-22:00,58.9902785,22.7543127,way/31299713
227.47,1399,supermarket,Selver,Mo-Su 08:00-23:00,58.9897414,22.764034,way/251781723
227.48,99,restaurant,Mamma mia,11:30-21:00,58.9975796,22.7461771,node/7575202850
227.48,196,restaurant,Masala,NA,58.9967239,22.7467235,node/11019573128
227.48,674,drinking_water,Tau allikas,NA,58.9924296,22.7472939,node/3677361061
227.83,17,restaurant,Hiiumaa Pruulikoja Resto,Su-We 12:00-20:00; Th 12:00-22:00; Fr-Sa 12:00-00:00,58.9995167,22.7425454,node/12007407090
228.22,365,cafe,Iiu bangalo,NA,58.994854,22.743828,node/7575243410
228.22,395,fuel,Jetoil Kärdla tankla,24/7,58.9945465,22.7440555,way/215129367
228.22,856,drinking_water,NA,NA,59.0006566,22.7257406,node/7575202876
228.38,361,drinking_water,NA,NA,58.9971642,22.7316042,node/4399259328
228.65,47,supermarket,Kärdla Rimi mini,Mo-Su 09:00-21:00,58.9931055,22.7346155,way/213818812
228.92,628,fuel,Kärdla Olerex,NA,58.9944559,22.7224811,way/754364935
270.68,130,cafe,Meite Mõte,Mo-Su 10:00-20:00,58.9317626,22.3911174,node/12086566187
284.93,867,cafe,JES Suvekohvik,NA,58.9065413,22.2139276,node/13326132742
285.04,68,convenience,Kõpu COOP Suvepood,10:00-20:00,58.9149723,22.2112376,node/13326111031
285.62,42,cafe,Tuletorni Kohvik,May-Sep: Mo-Su 10:00-20:00,58.9156054,22.2008486,node/4294355109
298.65,54,restaurant,Kalana äär,Mo-Su 12:00-22:00,58.9210413,22.0567133,node/11017909885
329.39,986,drinking_water,NA,NA,58.8716779,22.4673951,node/11982843696
363.43,21,restaurant,Kati Söögituba,NA,58.7051136,22.5967083,node/1208905250
363.43,22,convenience,COOP Emmaste kauplus,Mo-Su 10:00-20:00,58.7050354,22.5966036,node/638298742
363.88,20,fast_food,Muku Tare,"Tu,We,Th,Sa 11:00-20:00; Fr 11:00-21:00",58.7039051,22.5887677,node/10696346902
363.88,24,fuel,Alexela,NA,58.7038398,22.588841,way/93096535
367.63,475,convenience,NA,NA,58.701698,22.5267119,way/92901749
368.25,15,restaurant,Sõru kõrts,NA,58.694443,22.5228831,node/1208905253
368.4,23,convenience,NA,NA,58.6933225,22.5221008,node/1851613315
368.56,19,drinking_water,NA,NA,58.6919122,22.5221276,node/12154071629
385.37,15,fuel,Triigi sadamatankla,24/7,58.5915582,22.7172635,node/11127361482
385.42,36,cafe,NA,NA,58.5915713,22.7160462,node/4294139101
389.22,57,restaurant,Willa Inga,NA,58.5706737,22.683289,node/6848230910
389.22,872,fuel,Olerex,NA,58.5642254,22.6900616,node/11136113785
389.3,25,convenience,Coop Leisi kauplus,Mo-Su 09:00-21:00,58.5717275,22.682046,way/225703814
411.15,1020,cafe,Mustjala Mustard,Jun 15-Sep 15 10:00-18:00,58.5636219,22.3943989,node/3687926850
417.9,31,restaurant,Kliff Butiik,NA,58.5671637,22.3025338,node/12047072912
418.79,13,cafe,NA,NA,58.5701211,22.2895433,node/5007710123
426.81,19,convenience,Võhma perepood,NA,58.5278328,22.3424319,node/1873139585
442.48,276,restaurant,Rotterdam,NA,58.5364665,22.2344425,way/245000701
465.06,728,cafe,NA,NA,58.4151235,22.1281875,node/11112211071
465.06,781,cafe,Pidula forell,NA,58.4131055,22.1261371,node/11112076598
519.14,41,convenience,Coop Kihelkonna kauplus,Mo-Sa 09:00-20:00; Su 10:00-18:00,58.3596263,22.0374885,way/132084277
519.2,25,convenience,NA,NA,58.3602184,22.0388051,node/11112447891
519.2,610,restaurant,Köstrimaja,NA,58.3624813,22.0480617,node/11158906368
535.99,33,convenience,Coop Lümanda kauplus,Mo-Su 09:00-20:00,58.286839,22.0244375,way/725182429
536.02,186,restaurant,Söögimaja,NA,58.28895,22.0253315,node/11112604224
564.86,211,convenience,Sauvere perepood,NA,58.3865743,22.3331071,node/11111120232
589.28,7,restaurant,Trahter,NA,58.3713789,22.6718068,node/1851601216
589.28,35,convenience,Kaali Kauplus,10:00-20:00,58.3717324,22.6719401,node/860405294
602.72,54,drinking_water,NA,NA,58.4092663,22.789981,node/12269090301
602.81,26,convenience,Coop Valjala kauplus,Mo-Fr 08:00-19:00; Sa-Su 10:00-18:00,58.4094375,22.791488,way/213731465
620.25,24,convenience,Laimjala pood,NA,58.4268028,23.0028761,node/12895538135
622.55,1008,fast_food,NA,NA,58.4159889,23.0048622,node/11074194250
639.91,1025,bakery,Koplimäe talupood-kohvik,NA,58.5010577,23.0964744,node/4226823593
639.99,267,cafe,Meierei Kohvik,Mo-Sa 11:00-16:00,58.503793,23.1181312,node/11992952570
640.08,270,convenience,Coop Tornimäe kauplus,Mo-Sa 09:00-20:00; Su 10:00-18:00,58.504156,23.1180115,way/232575203
656.73,90,fuel,Alexela Muhu Liiva tankla,24/7,58.6053519,23.2359651,way/1309487144
656.79,32,restaurant,Kahverjan,NA,58.6053357,23.2333589,node/12214817652
656.81,52,bakery,Muhu Pagarid,NA,58.6060231,23.234177,node/3733619567
656.86,28,cafe,Liiva Kohvik,NA,58.6054395,23.2327545,node/12215538772
656.93,33,fast_food,Muhurito,NA,58.606502,23.2332565,node/12215522522
